COMPILER_VERSION 14.2.1 20250220 [revision 9ffecde121af883b60bbe60d00425036bc873048]
ARRAY_LENGTH 1000000
ARRAY_COUNT 500
ITER_COUNT 1
NUM_TESTS 36
SEED 1745386009

Init: 26553

## MERGING 3 LISTS ##
Baseline (copy+sort) 43
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Insert (O0)                              | true    |      ? |          27,27,27 |             0.0000 |
State Machine (O1)                       | true    |      ? |          14,14,14 |             0.0000 |
State Machine (Oz)                       | true    |      ? |          12,12,12 |             0.0000 |
Heap (O1)                                | true    |      ? |          20,20,20 |             0.0000 |
Insert (O1)                              | true    |      ? |          19,19,19 |             0.0000 |
State Machine (O3)                       | true    |      ? |          12,12,12 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          16,16,16 |             0.0000 |
Insert (O3)                              | true    |      ? |          16,16,16 |             0.0000 |
Find (O0)                                | true    |      ? |          70,70,70 |             0.0000 |
Find (Os)                                | true    |      ? |          42,42,42 |             0.0000 |
State Machine (O2)                       | true    |      ? |          13,13,13 |             0.0000 |
Heap (O0)                                | true    |      ? |          43,43,43 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |          16,16,16 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |          16,16,16 |             0.0000 |
Find (Oz)                                | true    |      ? |          42,42,42 |             0.0000 |
Find (O2)                                | true    |      ? |          39,39,39 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |          18,18,18 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |          22,22,22 |             0.0000 |
Insert (Oz)                              | true    |      ? |          16,16,16 |             0.0000 |
Tournament Tree (O0)                     | true    |      ? |          60,60,60 |             0.0000 |
State Machine (Os)                       | true    |      ? |          12,12,12 |             0.0000 |
Insert Cache (O0)                        | true    |      ? |          30,30,30 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |          16,16,16 |             0.0000 |
Insert (O2)                              | true    |      ? |          16,16,16 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |          23,23,23 |             0.0000 |
Heap (O2)                                | true    |      ? |          18,18,18 |             0.0000 |
Heap (Oz)                                | true    |      ? |          18,18,18 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |          23,23,23 |             0.0000 |
Find (O3)                                | true    |      ? |          35,35,35 |             0.0000 |
Insert (Os)                              | true    |      ? |          16,16,16 |             0.0000 |
Heap (O3)                                | true    |      ? |          18,18,18 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |          22,22,22 |             0.0000 |
State Machine (O0)                       | true    |      ? |          15,15,15 |             0.0000 |
Heap (Os)                                | true    |      ? |          18,18,18 |             0.0000 |
Find (O1)                                | true    |      ? |          39,39,39 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |          16,16,16 |             0.0000 |

## MERGING 4 LISTS ##
Baseline (copy+sort) 110
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Insert (O0)                              | true    |      ? |          44,44,44 |             0.0000 |
State Machine (O1)                       | true    |      ? |          22,22,22 |             0.0000 |
State Machine (Oz)                       | true    |      ? |          20,20,20 |             0.0000 |
Heap (O1)                                | true    |      ? |          31,31,31 |             0.0000 |
Insert (O1)                              | true    |      ? |          27,27,27 |             0.0000 |
State Machine (O3)                       | true    |      ? |          19,19,19 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          24,24,24 |             0.0000 |
Insert (O3)                              | true    |      ? |          24,24,24 |             0.0000 |
Find (O0)                                | true    |      ? |          97,97,97 |             0.0000 |
Find (Os)                                | true    |      ? |          59,59,59 |             0.0000 |
State Machine (O2)                       | true    |      ? |          20,20,20 |             0.0000 |
Heap (O0)                                | true    |      ? |          65,65,65 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |          24,24,24 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |          24,24,24 |             0.0000 |
Find (Oz)                                | true    |      ? |          59,59,59 |             0.0000 |
Find (O2)                                | true    |      ? |          56,56,56 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |          30,30,30 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |          36,36,36 |             0.0000 |
Insert (Oz)                              | true    |      ? |          24,24,24 |             0.0000 |
Tournament Tree (O0)                     | true    |      ? |          95,95,95 |             0.0000 |
State Machine (Os)                       | true    |      ? |          20,20,20 |             0.0000 |
Insert Cache (O0)                        | true    |      ? |          46,46,46 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |          24,24,24 |             0.0000 |
Insert (O2)                              | true    |      ? |          25,25,25 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |          38,38,38 |             0.0000 |
Heap (O2)                                | true    |      ? |          27,27,27 |             0.0000 |
Heap (Oz)                                | true    |      ? |          29,29,29 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |          39,39,39 |             0.0000 |
Find (O3)                                | true    |      ? |          51,51,51 |             0.0000 |
Insert (Os)                              | true    |      ? |          24,24,24 |             0.0000 |
Heap (O3)                                | true    |      ? |          28,28,28 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |          37,37,37 |             0.0000 |
State Machine (O0)                       | true    |      ? |          24,24,24 |             0.0000 |
Heap (Os)                                | true    |      ? |          28,28,28 |             0.0000 |
Find (O1)                                | true    |      ? |          56,56,56 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |          24,24,24 |             0.0000 |

## MERGING 5 LISTS ##
Baseline (copy+sort) 81
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Insert (O0)                              | true    |      ? |          62,62,62 |             0.0000 |
State Machine (O1)                       | true    |      ? |          32,32,32 |             0.0000 |
State Machine (Oz)                       | true    |      ? |          29,29,29 |             0.0000 |
Heap (O1)                                | true    |      ? |          43,43,43 |             0.0000 |
Insert (O1)                              | true    |      ? |          37,37,37 |             0.0000 |
State Machine (O3)                       | true    |      ? |          29,29,29 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          33,33,33 |             0.0000 |
Insert (O3)                              | true    |      ? |          32,32,32 |             0.0000 |
Find (O0)                                | true    |      ? |       121,121,121 |             0.0000 |
Find (Os)                                | true    |      ? |          75,75,75 |             0.0000 |
State Machine (O2)                       | true    |      ? |          30,30,30 |             0.0000 |
Heap (O0)                                | true    |      ? |          88,88,88 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |          32,32,32 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |          32,32,32 |             0.0000 |
Find (Oz)                                | true    |      ? |          75,75,75 |             0.0000 |
Find (O2)                                | true    |      ? |          72,72,72 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |          45,45,45 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |          53,53,53 |             0.0000 |
Insert (Oz)                              | true    |      ? |          32,32,32 |             0.0000 |
Tournament Tree (O0)                     | true    |      ? |       137,137,137 |             0.0000 |
State Machine (Os)                       | true    |      ? |          29,29,29 |             0.0000 |
Insert Cache (O0)                        | true    |      ? |          64,64,64 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |          32,32,32 |             0.0000 |
Insert (O2)                              | true    |      ? |          34,34,34 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |          54,54,54 |             0.0000 |
Heap (O2)                                | true    |      ? |          38,38,38 |             0.0000 |
Heap (Oz)                                | true    |      ? |          41,41,41 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |          57,57,57 |             0.0000 |
Find (O3)                                | true    |      ? |          65,65,65 |             0.0000 |
Insert (Os)                              | true    |      ? |          32,32,32 |             0.0000 |
Heap (O3)                                | true    |      ? |          38,38,38 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |          54,54,54 |             0.0000 |
State Machine (O0)                       | true    |      ? |          39,39,39 |             0.0000 |
Heap (Os)                                | true    |      ? |          38,38,38 |             0.0000 |
Find (O1)                                | true    |      ? |          71,71,71 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |          33,33,33 |             0.0000 |

## MERGING 6 LISTS ##
Baseline (copy+sort) 117
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Insert (O0)                              | true    |      ? |          84,84,84 |             0.0000 |
State Machine (O1)                       | false   |      ? |                 ? |                  ? | Unsupported
State Machine (Oz)                       | false   |      ? |                 ? |                  ? | Unsupported
Heap (O1)                                | true    |      ? |          60,60,60 |             0.0000 |
Insert (O1)                              | true    |      ? |          47,47,47 |             0.0000 |
State Machine (O3)                       | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (Oz)                        | true    |      ? |          39,39,39 |             0.0000 |
Insert (O3)                              | true    |      ? |          42,42,42 |             0.0000 |
Find (O0)                                | true    |      ? |       146,146,146 |             0.0000 |
Find (Os)                                | true    |      ? |          89,89,89 |             0.0000 |
State Machine (O2)                       | false   |      ? |                 ? |                  ? | Unsupported
Heap (O0)                                | true    |      ? |       119,119,119 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |          40,40,40 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |          40,40,40 |             0.0000 |
Find (Oz)                                | true    |      ? |          89,89,89 |             0.0000 |
