COMPILER_VERSION Clang 22.1.7
ARRAY_LENGTH 1000000
ARRAY_COUNT 20
ITER_COUNT 3
NUM_TESTS 31
TEST_TYPE random
SEED 1784096440
MEMORY 0.149012 GiB

Init: 480

## MERGING 3 LISTS ##
Baseline (copy+sort) 71
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Insert Cache (Os)                        | true    |      ? |          18,18,19 |             0.4714 |
State Machine Cache (O2)                 | true    |      ? |          16,16,16 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |          24,24,24 |             0.0000 |
Find SIMD (O1)                           | true    |      ? |          41,41,41 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |          19,19,19 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |          25,26,26 |             0.4714 |
Find Unrolled (Oz)                       | true    |      ? |          19,20,20 |             0.4714 |
Find Unrolled (O1)                       | true    |      ? |          19,19,19 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |          19,19,19 |             0.0000 |
Find SIMD (O3)                           | true    |      ? |          40,40,40 |             0.0000 |
State Machine Cache (O3)                 | true    |      ? |          16,16,16 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          19,19,19 |             0.0000 |
Find Unrolled (O2)                       | true    |      ? |          19,19,19 |             0.0000 |
State Machine Cache (Os)                 | true    |      ? |          15,15,15 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |          67,67,68 |             0.4714 |
Insert Cache (O1)                        | true    |      ? |          20,20,20 |             0.0000 |
State Machine Cache (O1)                 | true    |      ? |          16,16,16 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |          33,33,33 |             0.0000 |
Find SIMD (O2)                           | true    |      ? |          41,41,41 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |          34,34,35 |             0.4714 |
Tournament Tree (Oz)                     | true    |      ? |          33,33,34 |             0.4714 |
Find Unrolled (O3)                       | true    |      ? |          19,19,19 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |          22,22,22 |             0.0000 |
Find SIMD (Os)                           | true    |      ? |          40,40,40 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |          34,35,35 |             0.4714 |
Tournament Tree (O2)                     | true    |      ? |          35,35,35 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |          18,18,18 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |          67,67,70 |             1.4142 |
Find SIMD (Oz)                           | true    |      ? |          40,40,40 |             0.0000 |
State Machine Cache (Oz)                 | true    |      ? |          16,16,16 |             0.0000 |
Baseline (copy+sort)                     | true    |      0 |          67,67,68 |             0.4714 |

## MERGING 4 LISTS ##
Baseline (copy+sort) 106
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Insert Cache (Os)                        | true    |      ? |          27,27,27 |             0.0000 |
State Machine Cache (O2)                 | true    |      ? |          24,24,25 |             0.4714 |
Heap Cache (O3)                          | true    |      ? |          40,40,40 |             0.0000 |
