COMPILER_VERSION 14.2.1 20250220 [revision 9ffecde121af883b60bbe60d00425036bc873048]
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 36
SEED 1744259640

Init: 13363

## MERGING 3 LISTS ##
Baseline (copy+sort) 682
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O1)                     | true    |      ? |       209,209,209 |             0.0000 |
State Machine (O3)                       | true    |      ? |       136,136,136 |             0.0000 |
Insert (O1)                              | true    |      ? |       205,205,205 |             0.0000 |
Heap (Os)                                | true    |      ? |       205,205,205 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       187,187,187 |             0.0000 |
Heap (Oz)                                | true    |      ? |       213,213,213 |             0.0000 |
Find (O3)                                | true    |      ? |       392,392,392 |             0.0000 |
Heap (O3)                                | true    |      ? |       201,201,201 |             0.0000 |
Insert (O3)                              | true    |      ? |       184,184,184 |             0.0000 |
Find (Oz)                                | true    |      ? |       481,481,481 |             0.0000 |
State Machine (O0)                       | true    |      ? |       173,173,173 |             0.0000 |
Heap (O2)                                | true    |      ? |       209,209,209 |             0.0000 |
Insert (Oz)                              | true    |      ? |       190,190,190 |             0.0000 |
Find (O1)                                | true    |      ? |       441,441,441 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       264,264,264 |             0.0000 |
Heap (O1)                                | true    |      ? |       224,224,224 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       260,260,260 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       184,184,184 |             0.0000 |
State Machine (O2)                       | true    |      ? |       148,148,148 |             0.0000 |
Find (Os)                                | true    |      ? |       486,486,486 |             0.0000 |
State Machine (Oz)                       | true    |      ? |       144,144,144 |             0.0000 |
Insert (Os)                              | true    |      ? |       182,182,182 |             0.0000 |
Find (O2)                                | true    |      ? |       450,450,450 |             0.0000 |
Find (O0)                                | true    |      ? |       824,824,824 |             0.0000 |
Insert (O2)                              | true    |      ? |       187,187,187 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       255,255,255 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       262,262,262 |             0.0000 |
State Machine (O1)                       | true    |      ? |       160,160,160 |             0.0000 |
Insert Cache (O0)                        | true    |      ? |       340,340,340 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       183,183,183 |             0.0000 |
State Machine (Os)                       | true    |      ? |       141,141,141 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       183,183,183 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       186,186,186 |             0.0000 |
Insert (O0)                              | true    |      ? |       325,325,325 |             0.0000 |
Heap (O0)                                | true    |      ? |       511,511,511 |             0.0000 |
Tournament Tree (O0)                     | true    |      ? |       702,702,702 |             0.0000 |

## MERGING 4 LISTS ##
Baseline (copy+sort) 1297
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O1)                     | true    |      ? |       347,347,347 |             0.0000 |
State Machine (O3)                       | true    |      ? |       219,219,219 |             0.0000 |
Insert (O1)                              | true    |      ? |       312,312,312 |             0.0000 |
Heap (Os)                                | true    |      ? |       322,322,322 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       274,274,274 |             0.0000 |
Heap (Oz)                                | true    |      ? |       334,334,334 |             0.0000 |
Find (O3)                                | true    |      ? |       579,579,579 |             0.0000 |
Heap (O3)                                | true    |      ? |       309,309,309 |             0.0000 |
Insert (O3)                              | true    |      ? |       271,271,271 |             0.0000 |
Find (Oz)                                | true    |      ? |       656,656,656 |             0.0000 |
State Machine (O0)                       | true    |      ? |       277,277,277 |             0.0000 |
Heap (O2)                                | true    |      ? |       312,312,312 |             0.0000 |
Insert (Oz)                              | true    |      ? |       275,275,275 |             0.0000 |
Find (O1)                                | true    |      ? |       629,629,629 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       444,444,444 |             0.0000 |
Heap (O1)                                | true    |      ? |       352,352,352 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       421,421,421 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       276,276,276 |             0.0000 |
State Machine (O2)                       | true    |      ? |       232,232,232 |             0.0000 |
Find (Os)                                | true    |      ? |       657,657,657 |             0.0000 |
State Machine (Oz)                       | true    |      ? |       229,229,229 |             0.0000 |
Insert (Os)                              | true    |      ? |       273,273,273 |             0.0000 |
Find (O2)                                | true    |      ? |       632,632,632 |             0.0000 |
